Time,Sensor 1,Sensor 2,Type,Concentration
494,0.47535763,0.396747694,4,0.4
495,0.474122969,0.396216956,4,0.4
496,0.473586372,0.396283953,4,0.4
497,0.473015229,0.395878329,4,0.4
498,0.472332866,0.395415787,4,0.4
499,0.471524274,0.394891233,4,0.4
500,0.470733558,0.394522001,4,0.4
501,0.46932015,0.393652893,4,0.4
502,0.468209074,0.393165818,4,0.4
503,0.46720914,0.393094595,4,0.4
504,0.466915141,0.392686693,4,0.4
505,0.466327777,0.39230972,4,0.4
506,0.465675857,0.391951311,4,0.4
507,0.465029451,0.391540379,4,0.4
508,0.464040022,0.391181441,4,0.4
509,0.462726991,0.390206884,4,0.4
510,0.461714527,0.390120948,4,0.4
511,0.461466087,0.38975983,4,0.4
512,0.460853582,0.389450013,4,0.4
513,0.46032867,0.388992214,4,0.4
514,0.459709751,0.388543299,4,0.4
515,0.459023328,0.387766487,4,0.4
516,0.457592038,0.387232958,4,0.4
517,0.456537655,0.386824701,4,0.4
518,0.456197661,0.386807503,4,0.4
519,0.455669696,0.386422975,4,0.4
520,0.455147953,0.386061893,4,0.4
521,0.454534025,0.385662832,4,0.4
522,0.45385451,0.385283833,4,0.4
523,0.452451095,0.384384663,4,0.4
524,0.451535674,0.384024916,4,0.4
525,0.450966992,0.384063205,4,0.4
526,0.450966995,0.383737608,4,0.4
527,0.450390434,0.38329151,4,0.4
528,0.449818944,0.382920198,4,0.4
529,0.449077715,0.382531112,4,0.4
530,0.448243078,0.382175018,4,0.4
531,0.446963265,0.381109076,4,0.4
532,0.445891709,0.381101891,4,0.4
533,0.445770791,0.38080503,4,0.4
534,0.445378649,0.38040544,4,0.4
535,0.444794273,0.379968077,4,0.4
536,0.444218874,0.379597637,4,0.4
537,0.443620324,0.378748197,4,0.4
538,0.442398496,0.378335702,4,0.4
539,0.441302568,0.37779332,4,0.4
540,0.440891909,0.377905764,4,0.4
541,0.440505499,0.37753033,4,0.4
542,0.439930662,0.377159277,4,0.4
543,0.439524291,0.376835702,4,0.4
544,0.439021159,0.376466333,4,0.4
545,0.437806939,0.375611736,4,0.4
546,0.436876889,0.37505331,4,0.4
547,0.435987683,0.375192981,4,0.4
548,0.436121835,0.374928956,4,0.4
549,0.435659164,0.374578638,4,0.4
550,0.435267149,0.374209903,4,0.4
551,0.434885277,0.373911367,4,0.4
552,0.433928245,0.373352068,4,0.4
553,0.432975147,0.372567781,4,0.4
554,0.432152998,0.372662441,4,0.4
555,0.432063445,0.372360295,4,0.4
556,0.431663562,0.37199769,4,0.4
557,0.431359322,0.371642651,4,0.4
558,0.430822116,0.371277773,4,0.4
559,0.430308703,0.370487736,4,0.4
560,0.429077103,0.37009783,4,0.4
561,0.428232504,0.369677934,4,0.4
562,0.428099991,0.369712531,4,0.4
563,0.427752385,0.369369925,4,0.4
564,0.427358815,0.369074979,4,0.4
565,0.426861576,0.368664021,4,0.4
566,0.426347639,0.368520903,4,0.4
567,0.425364929,0.367505834,4,0.4
568,0.42445431,0.367071863,4,0.4
569,0.423831741,0.367096073,4,0.4
570,0.423731772,0.366855631,4,0.4
571,0.423396018,0.366495923,4,0.4
572,0.422931607,0.366203963,4,0.4
573,0.422487478,0.365906209,4,0.4
574,0.421607032,0.36538032,4,0.4
575,0.420724659,0.364690431,4,0.4
576,0.420008157,0.364729105,4,0.4
577,0.419983168,0.364482278,4,0.4
578,0.419734317,0.364150211,4,0.4
579,0.419353975,0.36382478,4,0.5
580,0.418897088,0.363498639,4,0.5
581,0.418457349,0.362681109,4,0.5
582,0.417360089,0.362402958,4,0.5
583,0.416660215,0.361987822,4,0.5
584,0.416543185,0.362069033,4,0.5
585,0.416270207,0.36180457,4,0.5
586,0.415909422,0.36160182,4,0.5
587,0.415548731,0.361378468,4,0.5
588,0.415186998,0.361354418,4,0.5
589,0.414368907,0.360439833,4,0.5
590,0.413387581,0.360319895,4,0.5
591,0.413157002,0.360511103,4,0.5
592,0.412895643,0.360485922,4,0.5
593,0.412570589,0.360599434,4,0.5
594,0.412296184,0.36078961,4,0.5
595,0.411972888,0.36099866,4,0.5
596,0.41108629,0.3609624,4,0.5
597,0.410402746,0.361212798,4,0.5
598,0.409814885,0.361873043,4,0.5
599,0.40986173,0.362565344,4,0.5
600,0.409780537,0.363235047,4,0.5
601,0.409480979,0.363968649,4,0.5
602,0.409169954,0.364757424,4,0.5
603,0.40877409,0.365175793,4,0.5
604,0.407834169,0.366152406,4,0.5
605,0.407157309,0.367204271,4,0.5
606,0.407342948,0.368809764,4,0.5
607,0.40733911,0.369995951,4,0.5
608,0.407199486,0.371303316,4,0.5
609,0.407174568,0.372752523,4,0.5
610,0.407082014,0.374319184,4,0.5
611,0.406520851,0.375212388,4,0.5
612,0.406235309,0.376629834,4,0.5
613,0.406279684,0.378627271,4,0.5
614,0.406821361,0.380296979,4,0.5
615,0.407171418,0.381997127,4,0.5
616,0.40760368,0.383815716,4,0.5
617,0.408078513,0.385546633,4,0.5
618,0.408001376,0.386972585,4,0.5
619,0.408353314,0.388688433,4,0.5
620,0.408727598,0.390912784,4,0.5
621,0.409985005,0.392875445,4,0.5
622,0.411017686,0.394813409,4,0.5
623,0.412111553,0.396720883,4,0.5
624,0.413213404,0.398739468,4,0.5
625,0.414439462,0.400295964,4,0.5
626,0.414911951,0.402122466,4,0.5
627,0.415906765,0.404041639,4,0.5
628,0.417759793,0.406448518,4,0.5
629,0.419387722,0.408465368,4,0.5
630,0.421067989,0.41056344,4,0.5
631,0.422854028,0.41253273,4,0.5
632,0.424644448,0.414223901,4,0.5
633,0.426426411,0.415990479,4,0.5
634,0.427442073,0.418067662,4,0.5
635,0.429773838,0.42054578,4,0.5
636,0.432072096,0.422749074,4,0.5
637,0.434430841,0.424748823,4,0.5
638,0.436725182,0.426872899,4,0.5
639,0.43912506,0.428897252,4,0.5
640,0.441047103,0.430577538,4,0.5
641,0.443252405,0.432534825,4,0.5
642,0.445509527,0.435108921,4,0.5
643,0.448725952,0.437356149,4,0.5
644,0.451605417,0.439494443,4,0.5
645,0.454398111,0.44158644,4,0.5
646,0.457204129,0.443675171,4,0.5
647,0.46002268,0.445258561,4,0.5
648,0.462129235,0.447316575,4,0.5
649,0.464564442,0.449402087,4,0.5
650,0.46788306,0.451995433,4,0.5
651,0.47103885,0.45413316,4,0.5
652,0.47398339,0.456235616,4,0.5
653,0.47709623,0.458399282,4,0.5
654,0.48019326,0.460693715,4,0.5
655,0.482910136,0.462047026,4,0.5
656,0.48522284,0.463835531,4,0.5
657,0.488360227,0.466169827,4,0.5
658,0.49198506,0.467757955,4,0.5
659,0.495223943,0.469101628,4,0.5
660,0.498361597,0.47008624,4,0.5
661,0.501643598,0.470919259,4,0.5
662,0.50419049,0.470790461,4,0.5
663,0.507086911,0.470990149,4,0.5
664,0.509870039,0.471602841,4,0.5
665,0.513664978,0.471644194,4,0.5
666,0.517041105,0.471722357,4,0.5
667,0.520264133,0.471525203,4,0.5
668,0.523460371,0.471296378,4,0.5
669,0.526557683,0.470475613,4,0.5
670,0.528653965,0.470056794,4,0.5
671,0.531162384,0.46964348,4,0.5
672,0.534663154,0.469860627,4,0.5
673,0.537702418,0.469525838,4,0.5
674,0.540645979,0.469186751,4,0.5
675,0.543409619,0.46893953,4,0.5
676,0.545962714,0.468209832,4,0.5
677,0.548390962,0.467445256,4,0.5
678,0.549642659,0.466902337,4,0.5
679,0.552110757,0.467044373,4,0.5
680,0.554541967,0.466773821,4,0.5
681,0.55664918,0.466456758,4,0.5
682,0.558591587,0.46615171,4,0.5
683,0.560453906,0.465733491,4,0.5
684,0.561239669,0.464860598,4,0.5
685,0.562529688,0.464299533,4,0.5
686,0.563580536,0.464314259,4,0.5
687,0.565529282,0.464055795,4,0.5
688,0.566858512,0.463659502,4,0.5
689,0.568158948,0.46329995,4,0.5
690,0.56910786,0.462812721,4,0.5
691,0.570403248,0.462066735,4,0.5
692,0.569897533,0.461407123,4,0.5
693,0.570195601,0.461267473,4,0.5
